Name,Symbol,Year,Status,CompanyURL,ReportURL,PDFPath,Error
Home Depot Inc.,HD,2024,Downloaded,https://www.responsibilityreports.com/Company/home-depot,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_HD_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_HD.pdf,
Broadcom Inc.,AVGO,2024,Downloaded,https://www.responsibilityreports.com/Company/broadcom,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NASDAQ_AVGO_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_AVGO.pdf,
Cisco Systems Inc.,CSCO,2024,Downloaded,https://www.responsibilityreports.com/Company/cisco-systems,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NASDAQ_CSCO_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_CSCO.pdf,
Bank of America Corp.,BAC,2024,Downloaded,https://www.responsibilityreports.com/Company/bank-of-america,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_BAC_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_BAC.pdf,
Salesforce Inc.,CRM,2024,Downloaded,https://www.responsibilityreports.com/Company/salesforce,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_CRM_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_CRM.pdf,
Walt Disney Company,DIS,2024,Downloaded,https://www.responsibilityreports.com/Company/walt-disney,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_DIS_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_DIS.pdf,
Accenture,ACN,2024,Failed,https://www.responsibilityreports.com/Company/accenture,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Danaher Corp.,DHR,2024,Downloaded,https://www.responsibilityreports.com/Company/danaher,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_DHR_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_DHR.pdf,
Comcast Corp. Class A,CMCSA,2024,Downloaded,https://www.responsibilityreports.com/Company/comcast,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NASDAQ_CMCSA_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_CMCSA.pdf,
Advanced Micro Devices Inc.,AMD,2024,Downloaded,https://www.responsibilityreports.com/Company/advanced-micro-devices,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NASDAQ_AMD_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_AMD.pdf,
NextEra Energy Inc.,NEE,2024,Downloaded,https://www.responsibilityreports.com/Company/nextera-energy,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_NEE_2024.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_NEE.pdf,
